date;heure;dept;com;adresse;carr;segm;lieu_1_nomv;lieu_2_nomv;vehicule_1_cadmin;vehicule_1_lveh;vehicle_2_cadmin;vehicule_2_lveh;vehicule_3_cadmin;vehicule_3_lveh;usager_1_catu;usager_1_grav;usager_1_lveh;usager_2_catu;usager_2_grav;usager_2_lveh;usager_3_catu;usager_3_grav;usager_3_lveh;usager_4_catu;usager_4_grav;usager_4_lveh
2012-01-19;08:55;75;120;111, RUE DES PYRENEES;;;RUE DES PYRENEES;;VL;A;Scoo50-125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;
2012-01-21;16:50;75;120;PLACE DE LA PORTE DE MON;;;PLACE DE LA PORTE DE MONTREUIL;;VL;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;
2013-03-30;17:40;75;120;54, RUE DE LA REUNION;;;RUE DE LA REUNION;;VL;A;Voi;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-08-18;12:00;75;120;195, RUE DES PYRENEES;;;RUE DES PYRENEES;;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;
2012-08-15;15:40;75;120;4, RUE PAUL JEAN TOULET;;;RUE PAUL JEAN TOULET;;Scoo<=50;A;Moto>125;B;;;Cond;BL;A;Cond;BL;B;;;;;;
2012-07-04;21:20;75;120;167, BOULEVARD DAVOUT;;;BOULEVARD DAVOUT;;Bicy;A;;;;;Cond;BL;A;;;;;;;;;
2013-07-19;18:05;75;119;78, BOULEVARD DE LA VILL;;;BOULEVARD DE LA VILLETTE;;Scoo50-125;A;;;;;Cond;BL;A;Pass;BL;A;;;;;;
2012-05-15;19:40;75;119;102, BOULEVARD DE LA VIL;;;BOULEVARD DE LA VILLETTE;;VL;A;VL;B;;;Cond;Indem;A;Pass;BL;B;Cond;Indem;B;;;
2012-11-19;16:20;75;119;102, BOULEVARD DE LA VIL;;;BOULEVARD DE LA VILLETTE;;VL;A;;;;;Piéto;BL;A;Cond;Indem;A;;;;;;
2012-11-10;08:40;75;119;121, RUE DE MEAUX;;;RUE DE MEAUX;;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
